image_path,label
plantGuard_dataset/images/Soybean___healthy/fa028e9e-6532-4462-9cdf-aca1cf1edb69.JPG,Soybean___healthy
plantGuard_dataset/images/Tomato___Target_Spot/0b780f69-a11b-4f0c-9086-6e9835896b1b.JPG,Tomato___Target_Spot
plantGuard_dataset/images/Blueberry___healthy/8d131b15-aa51-47e2-bcd6-4999c0706571.JPG,Blueberry___healthy
plantGuard_dataset/images/Tomato___Septoria_leaf_spot/77deae92-8208-425f-9247-41d4aff51b42.JPG,Tomato___Septoria_leaf_spot
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/b6ad08c0-bd3d-44a6-a3ac-a40df819b01c.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Squash___Powdery_mildew/0e5d160a-e19a-466a-b6b8-dc8897951436.JPG,Squash___Powdery_mildew
plantGuard_dataset/images/Soybean___healthy/a91ed4cf-7d5c-4763-ba56-b74578258ef9.JPG,Soybean___healthy
"plantGuard_dataset/images/Pepper,_bell___healthy/19d269e9-c18c-4fe4-b7d6-c81b805aacfe.JPG","Pepper,_bell___healthy"
plantGuard_dataset/images/Peach___Bacterial_spot/47ae23e4-0470-41da-a831-ba468f010db7.JPG,Peach___Bacterial_spot
plantGuard_dataset/images/Apple___healthy/cfadb068-2d5a-420f-afd7-d0aceec04f1b.JPG,Apple___healthy
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/4108a12d-5e24-4e0f-bb5f-6d004c7c848e.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Tomato___Late_blight/7cbef9bc-60c3-4c37-9f4c-adbfa4d02381.JPG,Tomato___Late_blight
plantGuard_dataset/images/Apple___healthy/657062e5-9b71-4528-b887-7b7ff00b0672.JPG,Apple___healthy
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/6a91170e-7d56-46aa-b14d-d67847ae2d9a.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Grape___Black_rot/ddd5f695-b811-4c8c-823d-e50e5d4974e9.JPG,Grape___Black_rot
plantGuard_dataset/images/Strawberry___healthy/79b76f6e-494d-40b7-a30c-88db04634ec3.JPG,Strawberry___healthy
